stock_id,year,record_date,announcement_datetime,cash_dividend,stock_dividend_value,stock_dividend_rate,cash_ex_dividend_date,stock_ex_right_date,cash_payment_date,updated_at
6208,113,2024-07-22,,0.783,0.0,0.0,2024-07-16,,2024-08-09,2026-07-27T00:33:24.381566+08:00
006208,113,2024-07-22,,0.783,0.0,0.0,2024-07-16,,2024-08-09,2026-08-15T07:52:38.790489+08:00
6208,113,2024-11-24,,0.9,0.0,0.0,2024-11-18,,2024-12-12,2026-07-27T00:33:24.381566+08:00
006208,113,2024-11-24,,0.9,0.0,0.0,2024-11-18,,2024-12-12,2026-08-15T07:52:38.790489+08:00
6208,114,2025-07-22,,0.989,0.0,0.0,2025-07-16,,2025-08-08,2026-07-27T00:33:24.381566+08:00
006208,114,2025-07-22,,0.989,0.0,0.0,2025-07-16,,2025-08-08,2026-08-15T07:52:38.790489+08:00
6208,114,2025-11-24,,3.448,0.0,0.0,2025-11-18,,2025-12-11,2026-07-27T00:33:24.381566+08:00
006208,114,2025-11-24,,3.448,0.0,0.0,2025-11-18,,2025-12-11,2026-08-15T07:52:38.790489+08:00
6208,115,2026-07-22,,4.75,0.0,0.0,2026-07-16,,2026-08-10,2026-07-27T00:33:24.381566+08:00
006208,115,2026-07-22,,4.75,0.0,0.0,2026-07-16,,2026-08-10,2026-08-15T07:52:38.790489+08:00
6208,113,,,0.9,0.0,0.0,,,,2026-07-26T22:43:17.271136+08:00
